case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,FedAvg,5,5,3,11,5,239.98626896035006,0.8261
1,FedAvg,5,5,3,11,10,565.5363702500595,0.8336
1,FedAvg,5,5,3,11,15,827.2491509783852,0.8397
1,FedAvg,5,5,3,9,20,72.39105617642115,0.8408
1,FedAvg,5,5,3,8,25,22.956978820798568,0.8439
1,FedAvg,5,5,3,8,30,25.429516889294355,0.847
1,FedAvg,5,5,3,7,35,7.814247772815541,0.8481
1,FedAvg,5,5,3,6,40,2.541204873668746,0.8487
1,FedAvg,5,5,3,7,45,8.596184804628233,0.8522
1,FedAvg,5,5,3,6,50,2.7407608532668624,0.8522
1,FedAvg,5,5,3,5,55,0.9880385042243385,0.8513
1,FedAvg,5,5,3,5,60,1.0109479591376314,0.8532
1,FedAvg,5,5,3,5,65,1.0323713622042272,0.855
1,FedAvg,5,5,3,5,70,1.0465194643492253,0.8574
1,FedAvg,5,5,3,5,75,1.059137183757271,0.8585
1,FedAvg,5,5,3,5,80,1.0720960541154498,0.8602
1,FedAvg,5,5,3,5,85,1.0808147858500787,0.861
1,FedAvg,5,5,3,5,90,1.0871840193236983,0.8616
1,FedAvg,5,5,3,5,95,1.0921933939995667,0.8626
1,FedAvg,5,5,3,4,100,0.4795431331797903,0.8582
1,FedAvg,5,5,3,5,105,1.0978157044816657,0.8638
1,FedAvg,5,5,3,4,110,0.48569636730680865,0.8606
1,FedAvg,5,5,3,4,115,0.48709191332823737,0.8611
1,FedAvg,5,5,3,4,120,0.4881231184535728,0.8623
1,FedAvg,5,5,3,4,125,0.4903771564186975,0.8629
1,FedAvg,5,5,3,4,130,0.4937140996059154,0.8627
1,FedAvg,5,5,3,4,135,0.494617719399961,0.8634
1,FedAvg,5,5,3,4,140,0.495261715772645,0.8647
1,FedAvg,5,5,3,4,145,0.4968642351166763,0.8648
1,FedAvg,5,5,3,4,150,0.49864914200755234,0.8654
1,FedAvg,5,5,3,4,155,0.5001163775496457,0.8661
1,FedAvg,5,5,3,4,160,0.5007936101089654,0.8655
1,FedAvg,5,5,3,4,165,0.5019013332040697,0.8663
1,FedAvg,5,5,3,4,170,0.5024264872449687,0.8669
1,FedAvg,5,5,3,4,175,0.5031905473791998,0.8669
1,FedAvg,5,5,3,4,180,0.5034993579423326,0.8673
1,FedAvg,5,5,3,4,185,0.5051340102679913,0.8681
1,FedAvg,5,5,3,4,190,0.5042375413217323,0.8686
1,FedAvg,5,5,3,4,195,0.5043691464611154,0.8686
1,FedAvg,5,5,3,4,200,0.504960496353771,0.8689
1,FedAvg,5,5,3,4,205,0.5055815874400547,0.8692
1,FedAvg,5,5,3,3,210,0.293288399907655,0.8641
1,FedAvg,5,5,3,3,215,0.29334393098063416,0.8637
1,FedAvg,5,5,3,3,220,0.29504289291657965,0.8634
1,FedAvg,5,5,3,3,225,0.29501656027854956,0.8647
1,FedAvg,5,5,3,3,230,0.29495764219124754,0.8642
1,FedAvg,5,5,3,4,235,0.5078501550533039,0.8708
1,FedAvg,5,5,3,4,240,0.507391845976403,0.8708
1,FedAvg,5,5,3,3,245,0.2957473236831998,0.8654
1,FedAvg,5,5,3,3,250,0.2963111020940175,0.8653
1,FedAvg,5,5,3,3,255,0.2970323688808663,0.8669
1,FedAvg,5,5,3,3,260,0.2977012654844402,0.8663
1,FedAvg,5,5,3,3,265,0.29771804340881924,0.8657
1,FedAvg,5,5,3,3,270,0.2985019446530952,0.8654
1,FedAvg,5,5,3,3,275,0.2985448807588409,0.8677
1,FedAvg,5,5,3,3,280,0.29888979912033103,0.8683
1,FedAvg,5,5,3,3,285,0.2979530367072759,0.8693
1,FedAvg,5,5,3,3,290,0.29790766012873926,0.8689
1,FedAvg,5,5,3,3,295,0.29826876063813806,0.8686
1,FedAvg,5,5,3,3,300,0.2986571043825576,0.8683
1,FedAvg,5,5,3,3,305,0.29935834287691904,0.8688
1,FedAvg,5,5,3,3,310,0.29944025361192467,0.8685
1,FedAvg,5,5,3,3,315,0.2992419900690516,0.8687
1,FedAvg,5,5,3,3,320,0.29991179595908296,0.8689
1,FedAvg,5,5,3,3,325,0.3002381896584557,0.869
1,FedAvg,5,5,3,3,330,0.30021173233030374,0.8699
1,FedAvg,5,5,3,3,335,0.3007049549778943,0.8698
1,FedAvg,5,5,3,3,340,0.3011807818015023,0.8696
1,FedAvg,5,5,3,3,345,0.30133536561893487,0.8692
1,FedAvg,5,5,3,3,350,0.3017043651100166,0.8699
1,FedAvg,5,5,3,3,355,0.3013169513160848,0.87
1,FedAvg,5,5,3,3,360,0.3016004694756433,0.8702
1,FedAvg,5,5,3,3,365,0.3019296702940845,0.8705
1,FedAvg,5,5,3,3,370,0.3021148756926887,0.8702
1,FedAvg,5,5,3,3,375,0.30223713530179064,0.8708
1,FedAvg,5,5,3,3,380,0.3029864153742107,0.8713
1,FedAvg,5,5,3,3,385,0.3029430604303461,0.8707
1,FedAvg,5,5,3,3,390,0.30368558368390997,0.8708
1,FedAvg,5,5,3,3,395,0.3038611008477611,0.8706
1,FedAvg,5,5,3,3,400,0.3043554504020563,0.8705
1,FedAvg,5,5,3,3,405,0.3036731137181052,0.8707
1,FedAvg,5,5,3,3,410,0.30406436129185876,0.8708
1,FedAvg,5,5,3,3,415,0.30447333816632566,0.8711
1,FedAvg,5,5,3,3,420,0.3037857106223377,0.871
1,FedAvg,5,5,3,3,425,0.30380830324198915,0.8712
1,FedAvg,5,5,3,3,430,0.303806310283924,0.8712
1,FedAvg,5,5,3,3,435,0.30457774780753616,0.8714
1,FedAvg,5,5,3,3,440,0.3053943679831566,0.8703
1,FedAvg,5,5,3,3,445,0.30534379371172726,0.871
1,FedAvg,5,5,3,3,450,0.3053465625770363,0.8715
1,FedAvg,5,5,3,3,455,0.30549434906729805,0.8715
1,FedAvg,5,5,3,3,460,0.3055649371816851,0.871
1,FedAvg,5,5,3,3,465,0.3057721175689725,0.8716
1,FedAvg,5,5,3,3,470,0.30534015960789873,0.8716
1,FedAvg,5,5,3,2,475,0.22515364303643204,0.8683
1,FedAvg,5,5,3,3,480,0.3064332254190431,0.8712
1,FedAvg,5,5,3,2,485,0.22506257949763359,0.8695
1,FedAvg,5,5,3,2,490,0.22496342965386043,0.8686
1,FedAvg,5,5,3,3,495,0.30640111057761216,0.8717
1,FedAvg,5,5,3,2,500,0.22486702153365085,0.8689
1,FedAvg,5,5,3,3,505,0.3062409856747157,0.872
1,FedAvg,5,5,3,3,510,0.30696005711839736,0.8719
1,FedAvg,5,5,3,2,515,0.22483985826882977,0.8684
1,FedAvg,5,5,3,2,520,0.2246103934411183,0.8703
1,FedAvg,5,5,3,2,525,0.22464303283347764,0.8687
1,FedAvg,5,5,3,2,530,0.22453633248412735,0.8698
1,FedAvg,5,5,3,2,535,0.2245527448341838,0.8693
1,FedAvg,5,5,3,2,540,0.22445210116285164,0.8693
