case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,FedAvg,5,10,3,31,5,142202980382542.62,0.8346
1,FedAvg,5,10,3,32,10,968795616700162.2,0.8413
1,FedAvg,5,10,3,27,15,1337007381975.0317,0.8448
1,FedAvg,5,10,3,25,20,98937392859.4469,0.8483
1,FedAvg,5,10,3,22,25,1830880736.15422,0.8492
1,FedAvg,5,10,3,20,30,130484786.40173894,0.85
1,FedAvg,5,10,3,18,35,9251563.426566625,0.8499
1,FedAvg,5,10,3,14,40,48404.858966969434,0.8491
1,FedAvg,5,10,3,16,45,658363.2093748348,0.8521
1,FedAvg,5,10,3,15,50,176534.52081461065,0.8515
1,FedAvg,5,10,3,14,55,47885.12579514933,0.8519
1,FedAvg,5,10,3,13,60,13079.751512439076,0.8524
1,FedAvg,5,10,3,12,65,3600.5927590506317,0.8522
1,FedAvg,5,10,3,12,70,3548.315341276076,0.8519
1,FedAvg,5,10,3,11,75,988.1123074876557,0.8515
1,FedAvg,5,10,3,11,80,968.7722756777277,0.8518
1,FedAvg,5,10,3,10,85,275.15231808854827,0.8514
1,FedAvg,5,10,3,10,90,270.6631658765068,0.8522
1,FedAvg,5,10,3,9,95,78.76631598130272,0.8509
1,FedAvg,5,10,3,9,100,77.59270649464767,0.8512
1,FedAvg,5,10,3,9,105,76.43780132616509,0.8525
1,FedAvg,5,10,3,8,110,23.26868251423717,0.8503
1,FedAvg,5,10,3,8,115,23.12390607486083,0.8508
1,FedAvg,5,10,3,8,120,22.789627601274184,0.8517
1,FedAvg,5,10,3,8,125,22.607311601088774,0.8514
1,FedAvg,5,10,3,7,130,7.260755492936695,0.8501
1,FedAvg,5,10,3,7,135,7.193190950775466,0.8509
1,FedAvg,5,10,3,7,140,7.098770476527548,0.8513
1,FedAvg,5,10,3,7,145,7.0709698329583315,0.8504
1,FedAvg,5,10,3,7,150,6.991456939013,0.8513
1,FedAvg,5,10,3,7,155,6.923386543605332,0.8521
1,FedAvg,5,10,3,7,160,6.8522203331761204,0.8522
1,FedAvg,5,10,3,6,165,2.451296406384574,0.8496
1,FedAvg,5,10,3,6,170,2.430703209214175,0.8497
1,FedAvg,5,10,3,6,175,2.4109253684834364,0.8495
