case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,FedAvg,5,5,3,133,3,1.0817896232903557e+75,0.8431
1,FedAvg,5,5,3,72,5,5.2697788549061175e+38,0.8434
1,FedAvg,5,5,3,39,10,1.929907838989456e+19,0.8461
1,FedAvg,5,5,3,22,20,2531229386.7534084,0.8514
1,FedAvg,5,5,3,14,30,65415.76508405235,0.8542
1,FedAvg,5,5,3,11,40,1343.9871235529158,0.8561
1,FedAvg,5,5,3,9,50,105.91640909081195,0.8588
1,FedAvg,5,5,3,5,80,1.0720960541154498,0.8602
1,FedAvg,5,5,3,6,100,3.010155766703027,0.8657
1,FedAvg,5,5,3,5,120,1.0991199474917939,0.8666
1,FedAvg,5,5,3,4,180,0.5034993579423326,0.8673
1,FedAvg,5,5,3,3,220,0.29504289291657965,0.8634
1,FedAvg,5,5,3,3,260,0.2977012654844402,0.8663
1,FedAvg,5,5,3,3,320,0.29991179595908296,0.8689
1,FedAvg,5,10,3,281,3,5.313719574159167e+163,0.8562
1,FedAvg,5,10,3,168,5,1.1839113287859943e+96,0.8558
1,FedAvg,5,10,3,82,10,6.087048157604636e+44,0.8567
1,FedAvg,5,10,3,36,20,3.862047071367439e+17,0.8571
1,FedAvg,5,10,3,30,30,111773064225832.0,0.8632
1,FedAvg,5,10,3,19,40,47504659.86191085,0.8624
1,FedAvg,5,10,3,15,50,241034.10388088197,0.8641
1,FedAvg,5,10,3,11,80,1248.7503658741327,0.8682
1,FedAvg,5,10,3,9,100,97.4350473522159,0.8701
1,FedAvg,5,10,3,7,120,8.811098052447662,0.8712
1,FedAvg,5,10,3,6,180,2.724055861488981,0.8744
1,FedAvg,5,10,3,4,220,0.5072706936901266,0.8694
1,FedAvg,5,10,3,4,260,0.5103775618021256,0.871
1,FedAvg,5,10,3,4,320,0.5118320392095721,0.8723
1,FedAvg,5,30,3,678,3,inf,0.8695
1,FedAvg,5,30,3,354,5,2.2691242388430205e+207,0.866
1,FedAvg,5,30,3,181,10,4.460175585721815e+103,0.867
1,FedAvg,5,30,3,112,20,1.7796929233868178e+62,0.8736
1,FedAvg,5,30,3,58,30,2.003355235429772e+30,0.8716
1,FedAvg,5,30,3,54,40,5.910704825686798e+27,0.8745
1,FedAvg,5,30,3,35,50,5.203098538969352e+16,0.874
1,FedAvg,5,30,3,24,100,11266598742.20455,0.8791
1,FedAvg,5,30,3,23,120,2204412826.041254,0.8799
1,FedAvg,5,30,3,34,80,5766377297202032.0,0.8785
1,FedAvg,5,30,3,15,180,64417.85130300113,0.8812
1,FedAvg,5,30,3,10,260,130.20529266682172,0.8835
1,FedAvg,5,50,3,1197,3,inf,0.8717
1,FedAvg,5,50,3,764,5,inf,0.873
1,FedAvg,5,50,3,409,10,3.206513954331484e+239,0.8748
1,FedAvg,5,50,3,153,15,5.317444316292263e+86,0.8731
1,FedAvg,5,50,3,117,20,1.5717050700333696e+65,0.8741
1,FedAvg,5,50,3,89,50,4.321185544963132e+47,0.8782
1,FedAvg,5,50,3,142,30,2.241176685566752e+79,0.8775
1,FedAvg,5,50,3,47,80,9.957682098368769e+22,0.8802
1,FedAvg,5,50,3,45,100,3.4121810938949534e+21,0.8802
1,FedAvg,5,50,3,30,120,12391519338908.137,0.8798
1,FedAvg,5,50,3,27,120,303935005271.41046,0.8809
1,FedAvg,5,50,3,22,180,226347769.75146776,0.8822
1,FedAvg,5,50,3,17,220,400490.55406362953,0.8826
1,FedAvg,5,50,3,13,260,3210.0919980818608,0.8835
1,FedAvg,5,50,3,10,320,93.39475331730301,0.885
1,FedAvg,5,50,3,11,360,200.26100960212855,0.8867
1,FedAvg,5,50,3,9,420,22.682786294782517,0.8884
1,FedAvg,5,50,3,7,600,2.907328749752053,0.8862
