case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,AM,5,10,3,40,5,4.348962661718626e+19,0.8358
1,AM,5,10,3,34,10,2.125235952886132e+16,0.8444
1,AM,5,10,3,29,15,29077001191464.71,0.8489
1,AM,5,10,3,26,20,548050106333.4269,0.8534
1,AM,5,10,3,22,25,2642584710.464307,0.8552
1,AM,5,10,3,21,30,701754335.314249,0.8581
1,AM,5,10,3,19,35,48791182.87450001,0.8603
1,AM,5,10,3,18,40,12774846.578894429,0.8627
1,AM,5,10,3,17,45,3351360.570548781,0.8632
1,AM,5,10,3,16,50,881169.1517464377,0.8644
1,AM,5,10,3,15,55,234154.64508930966,0.8642
1,AM,5,10,3,14,60,62746.3265364577,0.8647
1,AM,5,10,3,14,65,60653.27082428707,0.8663
1,AM,5,10,3,13,70,16404.465557920917,0.8677
1,AM,5,10,3,12,75,4495.601940699947,0.8679
1,AM,5,10,3,12,80,4362.35576194223,0.8683
1,AM,5,10,3,11,85,1216.3631576000853,0.8692
1,AM,5,10,3,11,90,1183.6940264876953,0.8699
1,AM,5,10,3,10,95,335.79947156994547,0.8707
1,AM,5,10,3,10,100,327.5305482895082,0.8708
1,AM,5,10,3,9,105,95.60355602849876,0.8708
1,AM,5,10,3,9,110,93.67169516040862,0.8713
1,AM,5,10,3,9,115,91.42769094523783,0.8728
1,AM,5,10,3,9,120,89.60495893086159,0.8733
1,AM,5,10,3,8,125,27.19485814586384,0.8732
1,AM,5,10,3,8,130,26.82948636944464,0.8741
1,AM,5,10,3,8,135,26.385533234535103,0.8741
1,AM,5,10,3,8,140,25.89946759090003,0.8744
1,AM,5,10,3,8,145,25.422653090577562,0.8744
1,AM,5,10,3,7,150,8.216633812879895,0.8739
1,AM,5,10,3,7,155,8.113761849736907,0.8742
1,AM,5,10,3,7,160,8.007569266197033,0.8745
1,AM,5,10,3,7,165,7.897896258022685,0.8752
1,AM,5,10,3,7,170,7.804122851401397,0.8755
1,AM,5,10,3,7,175,7.694747476552543,0.8757
1,AM,5,10,3,6,180,2.724055861488981,0.8744
1,AM,5,10,3,6,185,2.7027122237817673,0.8749
1,AM,5,10,3,6,190,2.6791201887793634,0.8753
1,AM,5,10,3,6,195,2.655579760661662,0.8752
1,AM,5,10,3,6,200,2.631866743419022,0.8756
1,AM,5,10,3,6,205,2.612817580867573,0.876
1,AM,5,10,3,6,210,2.5884342266850267,0.8761
1,AM,5,10,3,6,215,2.5627379310770446,0.8758
1,AM,5,10,3,6,220,2.544319451962663,0.8757
1,AM,5,10,3,5,225,1.0499453116079995,0.8743
1,AM,5,10,3,5,230,1.0451534873890849,0.8739
1,AM,5,10,3,5,235,1.0416681487692792,0.874
1,AM,5,10,3,5,240,1.0389625486100313,0.8745
1,AM,5,10,3,5,245,1.0340197440803331,0.8746
1,AM,5,10,3,5,250,1.0299972198134149,0.8745
1,AM,5,10,3,5,255,1.0291618069267088,0.8751
1,AM,5,10,3,5,260,1.0280115549108202,0.8751
1,AM,5,10,3,5,265,1.0228578230566838,0.8748
1,AM,5,10,3,5,270,1.0196814744461697,0.8744
1,AM,5,10,3,5,275,1.017322295782496,0.8751
1,AM,5,10,3,5,280,1.0144907326064587,0.8752
1,AM,5,10,3,5,285,1.00864537748549,0.8754
1,AM,5,10,3,5,290,1.0043533143709547,0.8754
1,AM,5,10,3,5,295,1.0015691048550048,0.8755
1,AM,5,10,3,5,300,0.996850505079078,0.8754
1,AM,5,10,3,5,305,0.9946388748003046,0.8764
1,AM,5,10,3,5,310,0.9912658811272892,0.8758
1,AM,5,10,3,4,315,0.5099983315338061,0.873
1,AM,5,10,3,4,320,0.5118320392095721,0.8723
1,AM,5,10,3,4,325,0.5111714998807135,0.8724
1,AM,5,10,3,4,330,0.5105604095596846,0.8728
1,AM,5,10,3,4,335,0.5104768087080042,0.8735
1,AM,5,10,3,4,340,0.5119324041675882,0.8733
1,AM,5,10,3,4,345,0.512368643416992,0.8729
1,AM,5,10,3,4,350,0.5123394086271108,0.8736
1,AM,5,10,3,4,355,0.5119496419037535,0.8736
1,AM,5,10,3,4,360,0.5112264392478447,0.8737
1,AM,5,10,3,4,365,0.5119768129169713,0.8738
1,AM,5,10,3,4,370,0.5125028646966397,0.8737
1,AM,5,10,3,4,375,0.5123516195071386,0.8734
1,AM,5,10,3,4,380,0.5130041467361848,0.8738
1,AM,5,10,3,4,385,0.5124417537724575,0.8742
1,AM,5,10,3,4,390,0.5135618718298245,0.874
1,AM,5,10,3,4,395,0.5135033823139831,0.8736
1,AM,5,10,3,4,400,0.5135759591771756,0.873
1,AM,5,10,3,4,405,0.5120629930428476,0.8741
1,AM,5,10,3,4,410,0.5125648735728117,0.8738
1,AM,5,10,3,4,415,0.5130877146884565,0.8736
1,AM,5,10,3,4,420,0.5126458304927424,0.8744
1,AM,5,10,3,4,425,0.5129083856969971,0.8741
1,AM,5,10,3,4,430,0.5130296123077757,0.8743
1,AM,5,10,3,4,435,0.5138224962223024,0.8738
1,AM,5,10,3,3,440,0.3053943679831566,0.8703
1,AM,5,10,3,4,445,0.5147811013228403,0.8741
1,AM,5,10,3,3,450,0.3053465625770363,0.8715
1,AM,5,10,3,3,455,0.30549434906729805,0.8715
1,AM,5,10,3,3,460,0.3055649371816851,0.871
1,AM,5,10,3,3,465,0.3057721175689725,0.8716
1,AM,5,10,3,3,470,0.30534015960789873,0.8716
1,AM,5,10,3,3,475,0.3057378602448989,0.8711
1,AM,5,10,3,3,480,0.3064332254190431,0.8712
1,AM,5,10,3,3,485,0.30615921985768546,0.8714
1,AM,5,10,3,3,490,0.30618150017053286,0.8717
1,AM,5,10,3,3,495,0.30640111057761216,0.8717
1,AM,5,10,3,3,500,0.3063892144326166,0.8713
1,AM,5,10,3,3,505,0.3062409856747157,0.872
1,AM,5,10,3,3,510,0.30696005711839736,0.8719
1,AM,5,10,3,3,515,0.30751802143694723,0.872
1,AM,5,10,3,3,520,0.3078791082209926,0.8718
1,AM,5,10,3,3,525,0.3075921430171756,0.8723
1,AM,5,10,3,3,530,0.30771280861399614,0.8718
1,AM,5,10,3,3,535,0.3081975246794869,0.8714
1,AM,5,10,3,3,540,0.3076645605465179,0.8724
1,AM,5,10,3,3,545,0.3076836018608292,0.8726
1,AM,5,10,3,3,550,0.3083277848447306,0.8724
1,AM,5,10,3,3,555,0.3090452445552435,0.8718
1,AM,5,10,3,3,560,0.3087983037233033,0.8723
1,AM,5,10,3,3,565,0.30808891097516294,0.8731
1,AM,5,10,3,3,570,0.30796761205670514,0.8731
1,AM,5,10,3,3,575,0.3077595992768889,0.8726
1,AM,5,10,3,3,580,0.3071573919121918,0.873
1,AM,5,10,3,3,585,0.3081888755457532,0.8724
1,AM,5,10,3,3,590,0.30798912330612044,0.8726
1,AM,5,10,3,3,595,0.3085044681917964,0.8726
1,AM,5,10,3,3,600,0.3081647852301417,0.8731
1,AM,5,10,3,3,605,0.30845721742495175,0.8725
1,AM,5,10,3,3,610,0.3081998120560054,0.8732
1,AM,5,10,3,3,615,0.30850620405456275,0.8734
1,AM,5,10,3,3,620,0.3082483412366319,0.8731
1,AM,5,10,3,3,625,0.30849722063051366,0.873
1,AM,5,10,3,3,630,0.3088293712928413,0.8734
1,AM,5,10,3,3,635,0.30919677798096235,0.8732
1,AM,5,10,3,3,640,0.3094473996282687,0.8732
1,AM,5,10,3,3,645,0.30942718323226404,0.873
1,AM,5,10,3,3,650,0.3095135137669033,0.8737
1,AM,5,10,3,3,655,0.3097699732468153,0.8731
1,AM,5,10,3,3,660,0.3101904088479285,0.8733
1,AM,5,10,3,3,665,0.30997511422787327,0.8731
1,AM,5,10,3,3,670,0.31003359611035075,0.8735
1,AM,5,10,3,3,675,0.3106865791208843,0.8733
1,AM,5,10,3,3,680,0.3110622356133906,0.8731
1,AM,5,10,3,3,685,0.3108260347400426,0.8734
1,AM,5,10,3,3,690,0.3106874815633186,0.8737
1,AM,5,10,3,3,695,0.310845646657391,0.8734
1,AM,5,10,3,3,700,0.3109343826881872,0.8736
1,AM,5,10,3,3,705,0.3110557961732829,0.8733
1,AM,5,10,3,3,710,0.3103535106766624,0.874
1,AM,5,10,3,3,715,0.3106145849463954,0.8739
1,AM,5,10,3,3,720,0.3106453816632572,0.8736
1,AM,5,10,3,3,725,0.31080367940898823,0.8737
1,AM,5,10,3,3,730,0.31157213678497186,0.8739
1,AM,5,10,3,3,735,0.31090639952895727,0.8734
1,AM,5,10,3,3,740,0.3110461259280933,0.8737
1,AM,5,10,3,3,745,0.31096935262493,0.8738
1,AM,5,10,3,3,750,0.3108651029653612,0.8739
1,AM,5,10,3,3,755,0.3110340811084077,0.8741
1,AM,5,10,3,3,760,0.31126817206627966,0.8742
1,AM,5,10,3,3,765,0.3109306912070712,0.8742
1,AM,5,10,3,3,770,0.31099189706322067,0.8743
1,AM,5,10,3,3,775,0.3112623520190617,0.874
1,AM,5,10,3,3,780,0.3117864510189918,0.8741
1,AM,5,10,3,3,785,0.31231683816608935,0.8745
1,AM,5,10,3,3,790,0.31223860415166105,0.8743
1,AM,5,10,3,3,795,0.3119938719635132,0.874
1,AM,5,10,3,3,800,0.31243326304997177,0.8744
1,AM,5,10,3,3,805,0.3124610039532284,0.8734
1,AM,5,10,3,3,810,0.31159057852067706,0.8739
1,AM,5,10,3,3,815,0.31248666977138934,0.8739
1,AM,5,10,3,3,820,0.31256726098634,0.8737
1,AM,5,10,3,3,825,0.31276662652874815,0.8746
1,AM,5,10,3,3,830,0.31287876579154844,0.8742
1,AM,5,10,3,3,835,0.3125666870559962,0.8743
1,AM,5,10,3,3,840,0.3120725912672647,0.8742
1,AM,5,10,3,3,845,0.3122762501650294,0.8738
1,AM,5,10,3,3,850,0.3120318005543029,0.874
1,AM,5,10,3,3,855,0.3116245304332672,0.8741
1,AM,5,10,3,3,860,0.3124841969341531,0.8744
1,AM,5,10,3,3,865,0.3128641364978586,0.8742
1,AM,5,10,3,3,870,0.3130457989679723,0.8744
1,AM,5,10,3,3,875,0.31359908535458403,0.8738
1,AM,5,10,3,3,880,0.3137765289117769,0.8739
1,AM,5,10,3,3,885,0.31354443431592594,0.874
1,AM,5,10,3,3,890,0.3134938427415457,0.8744
1,AM,5,10,3,3,895,0.31369482716692726,0.8751
1,AM,5,10,3,3,900,0.3133204066021991,0.8751
1,AM,5,10,3,3,905,0.31224889336010153,0.8749
1,AM,5,10,3,3,910,0.31289216731405284,0.8747
1,AM,5,10,3,2,915,0.22299067085189547,0.8738
1,AM,5,10,3,3,920,0.31315814232284744,0.875
1,AM,5,10,3,2,925,0.22292493955198678,0.8732
1,AM,5,10,3,3,930,0.31385359516570516,0.8749
1,AM,5,10,3,2,935,0.22337006316549285,0.8709
1,AM,5,10,3,2,940,0.22280966107626748,0.8734
1,AM,5,10,3,2,945,0.22276868079477877,0.8739
1,AM,5,10,3,2,950,0.22274937629878888,0.8732
1,AM,5,10,3,2,955,0.2231202947506407,0.8741
1,AM,5,10,3,2,960,0.22280690081558405,0.8738
1,AM,5,10,3,2,965,0.2228776500393876,0.8738
1,AM,5,10,3,2,970,0.2227111627606484,0.8742
1,AM,5,10,3,2,975,0.22277741657894398,0.8731
1,AM,5,10,3,2,980,0.2226865427161259,0.8741
1,AM,5,10,3,2,985,0.22268387643305645,0.8742
1,AM,5,10,3,2,990,0.22284223041110082,0.8741
1,AM,5,10,3,2,995,0.2226525384989272,0.8741
1,AM,5,10,3,2,1000,0.2227698696659755,0.8739
1,AM,5,30,3,114,5,6.3014698898254035e+63,0.8507
1,AM,5,30,3,96,10,1.2586241486609375e+53,0.8606
1,AM,5,30,3,81,15,1.3361961597123246e+44,0.8642
1,AM,5,30,3,73,20,1.9938577328711647e+39,0.8663
1,AM,5,30,3,65,25,3.1172773055400677e+34,0.8687
1,AM,5,30,3,59,30,7.655599048372006e+30,0.8715
1,AM,5,30,3,53,35,1.9832517898423786e+27,0.8734
1,AM,5,30,3,50,40,2.9299232804965898e+25,0.874
1,AM,5,30,3,46,45,1.1915883550481645e+23,0.8739
1,AM,5,30,3,43,50,1.880061119118531e+21,0.8749
1,AM,5,30,3,39,55,8.321666516453828e+18,0.875
1,AM,5,30,3,37,60,5.189491178481492e+17,0.8758
1,AM,5,30,3,35,65,3.3054048185232616e+16,0.8774
1,AM,5,30,3,34,70,7803373081461423.0,0.8778
1,AM,5,30,3,32,75,516987268127077.44,0.878
1,AM,5,30,3,30,80,34972690913929.516,0.878
1,AM,5,30,3,29,85,8606328306885.26,0.8786
1,AM,5,30,3,27,90,607472781585.5605,0.8788
1,AM,5,30,3,26,95,153296115236.70755,0.8786
1,AM,5,30,3,26,100,137409302784.86652,0.8787
1,AM,5,30,3,24,105,10189843184.852457,0.8788
1,AM,5,30,3,23,110,2670523555.216109,0.8788
1,AM,5,30,3,23,115,2425544195.3167844,0.8796
1,AM,5,30,3,22,120,645120538.8665994,0.8801
1,AM,5,30,3,15,125,117073.72321473401,0.8783
1,AM,5,30,3,14,130,33283.7166385437,0.878
1,AM,5,30,3,14,135,31699.00956388996,0.8786
1,AM,5,30,3,14,140,30121.622357116335,0.8793
1,AM,5,30,3,13,145,8745.971688847501,0.8794
1,AM,5,30,3,13,150,8360.676514450994,0.8795
1,AM,5,30,3,13,155,7997.770486246698,0.8798
1,AM,5,30,3,12,160,2373.374890815953,0.88
1,AM,5,30,3,12,165,2278.930604319362,0.8806
1,AM,5,30,3,10,170,220.26340563820023,0.879
1,AM,5,30,3,11,175,669.2694996662676,0.8807
1,AM,5,30,3,11,180,645.6151746472249,0.8813
1,AM,5,30,3,11,185,623.6478458111171,0.8812
1,AM,5,30,3,11,190,602.0627541034918,0.8814
1,AM,5,30,3,5,195,1.069522498523941,0.8728
1,AM,5,30,3,4,200,0.504960496353771,0.8689
