case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,AM,5,10,3,43,5,2.251636710069363e+21,0.8289
1,AM,5,10,3,35,10,6.817409482080448e+16,0.8346
1,AM,5,10,3,29,15,24247138696630.984,0.8361
1,AM,5,10,3,25,20,121009047109.78336,0.8375
1,AM,5,10,3,23,25,8649963323.86784,0.8376
1,AM,5,10,3,22,30,2326215595.5796185,0.8392
1,AM,5,10,3,19,35,43636719.51963958,0.8379
1,AM,5,10,3,18,40,11627784.930678133,0.839
1,AM,5,10,3,14,45,61694.76229066806,0.8373
1,AM,5,10,3,16,50,828946.2180310942,0.8399
1,AM,5,10,3,16,55,812650.4409060039,0.8387
1,AM,5,10,3,14,60,60765.220985053165,0.8387
1,AM,5,10,3,14,65,59731.02402587376,0.8375
1,AM,5,10,3,13,70,16281.033810966588,0.8372
1,AM,5,10,3,13,75,15879.601123534765,0.8376
1,AM,5,10,3,12,80,4403.9788081465285,0.8365
1,AM,5,10,3,11,85,1237.948327449741,0.8361
1,AM,5,10,3,10,90,353.2134454370649,0.8349
1,AM,5,10,3,9,95,102.95832538976339,0.8337
1,AM,5,10,3,10,100,340.63382454442274,0.8341
1,AM,5,10,3,10,105,335.6301364265573,0.8351
1,AM,5,10,3,10,110,328.67538626821477,0.8348
1,AM,5,10,3,9,115,97.5997060828208,0.834
1,AM,5,10,3,9,120,96.09213381450722,0.8341
1,AM,5,10,3,9,125,94.83518884587136,0.8338
1,AM,5,10,3,9,130,92.84389605615658,0.8344
1,AM,5,10,3,8,135,28.917535687544625,0.834
1,AM,5,10,3,8,140,28.272034154405816,0.833
1,AM,5,10,3,8,145,27.992652980041616,0.8326
1,AM,5,10,3,7,150,9.16122117627201,0.8315
1,AM,5,10,3,7,155,9.097793437708805,0.832
1,AM,5,10,3,7,160,8.987384556246713,0.8319
1,AM,5,10,3,7,165,8.88903148261138,0.8315
1,AM,5,10,3,7,170,8.79503849286127,0.832
1,AM,5,10,3,7,175,8.709793342261598,0.8323
1,AM,5,10,3,6,180,3.1251351989622562,0.8307
1,AM,5,10,3,6,185,3.121977031797827,0.8303
1,AM,5,10,3,5,190,1.2610097504525375,0.8289
1,AM,5,10,3,6,195,3.0917083490031345,0.8314
1,AM,5,10,3,6,200,3.060317139284658,0.8313
1,AM,5,10,3,6,205,3.0439029178178068,0.831
1,AM,5,10,3,6,210,3.0237635372690574,0.8309
1,AM,5,10,3,6,215,3.0169809263701026,0.8308
1,AM,5,10,3,6,220,2.9838131749838013,0.831
1,AM,5,10,3,6,225,2.971717214239386,0.8308
1,AM,5,10,3,6,230,2.9274869807879784,0.8315
1,AM,5,10,3,5,235,1.250740915904467,0.8292
1,AM,5,10,3,5,240,1.2407739976069863,0.8294
1,AM,5,10,3,5,245,1.2376105212765802,0.8292
1,AM,5,10,3,5,250,1.2400362492733006,0.8292
1,AM,5,10,3,5,255,1.230866353196879,0.8297
1,AM,5,10,3,5,260,1.2372241525759495,0.8294
1,AM,5,10,3,5,265,1.2179342998913931,0.8304
1,AM,5,10,3,5,270,1.227563476818243,0.8293
1,AM,5,10,3,5,275,1.2189101353138452,0.8302
1,AM,5,10,3,5,280,1.2133201410258692,0.8306
1,AM,5,10,3,5,285,1.214663916716963,0.8302
1,AM,5,10,3,5,290,1.211378000045225,0.8299
1,AM,5,10,3,5,295,1.2196501810425076,0.8294
1,AM,5,10,3,5,300,1.2098391215277755,0.83
1,AM,5,10,3,5,305,1.1941080264054609,0.8312
1,AM,5,10,3,4,310,0.6221816078517924,0.8303
1,AM,5,10,3,4,315,0.6223209940873402,0.8296
1,AM,5,10,3,4,320,0.621837691482848,0.8301
1,AM,5,10,3,4,325,0.614933075150202,0.8292
1,AM,5,10,3,4,330,0.6206210594901809,0.829
1,AM,5,10,3,4,335,0.6144718268397349,0.8295
1,AM,5,10,3,4,340,0.619826056682028,0.8295
1,AM,5,10,3,4,345,0.6245698792227181,0.8294
1,AM,5,10,3,4,350,0.617067270387174,0.8291
1,AM,5,10,3,4,355,0.6258383991975007,0.8295
1,AM,5,10,3,4,360,0.6235740288803489,0.8292
1,AM,5,10,3,4,365,0.6219977140071269,0.8289
1,AM,5,10,3,4,370,0.6206899492517053,0.8286
1,AM,5,10,3,4,375,0.6237478969445885,0.8292
1,AM,5,10,3,4,380,0.6225170171980436,0.8291
1,AM,5,10,3,4,385,0.6245732661926849,0.8287
1,AM,5,10,3,4,390,0.6227422768166784,0.8287
1,AM,5,10,3,4,395,0.6237558395463988,0.8288
1,AM,5,10,3,4,400,0.6243152402913495,0.8294
1,AM,5,10,3,4,405,0.6241515061335967,0.8293
1,AM,5,10,3,4,410,0.6286409165021174,0.8294
1,AM,5,10,3,4,415,0.6268229390192441,0.8294
1,AM,5,10,3,4,420,0.624830164637389,0.8293
1,AM,5,10,3,4,425,0.6244827111251345,0.8292
1,AM,5,10,3,3,430,0.37555586867293517,0.8272
1,AM,5,10,3,3,435,0.3804004200141676,0.827
1,AM,5,10,3,4,440,0.6258326852720095,0.8294
1,AM,5,10,3,4,445,0.6156632288726183,0.8297
1,AM,5,10,3,4,450,0.6241152347288166,0.8291
1,AM,5,10,3,4,455,0.624725664076303,0.8292
1,AM,5,10,3,4,460,0.6256382372335063,0.8292
1,AM,5,10,3,4,465,0.6285214703678539,0.8294
1,AM,5,10,3,4,470,0.62940576894697,0.8296
1,AM,5,10,3,4,475,0.6253951215296023,0.8293
1,AM,5,10,3,4,480,0.6232578272161988,0.8291
1,AM,5,10,3,3,485,0.375058882050287,0.8264
1,AM,5,10,3,4,490,0.6294604145755679,0.8294
1,AM,5,10,3,4,495,0.6242251024811049,0.8289
1,AM,5,10,3,3,500,0.3804703308393744,0.828
1,AM,5,10,3,3,505,0.3766891944599993,0.8275
1,AM,5,10,3,3,510,0.37894117364401403,0.8279
1,AM,5,10,3,3,515,0.38067513546145754,0.828
1,AM,5,10,3,3,520,0.3808656425988171,0.8284
1,AM,5,10,3,3,525,0.3801440668772982,0.8286
1,AM,5,10,3,3,530,0.37942315680825267,0.8282
1,AM,5,10,3,3,535,0.37919331207796697,0.828
1,AM,5,10,3,3,540,0.382049660639732,0.8282
