case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,indisag,5,10,3,40,5,3.814757264592336e+19,0.8262
1,indisag,5,10,3,31,10,306657754190993.1,0.8291
1,indisag,5,10,3,27,15,1701954728753.452,0.833
1,indisag,5,10,3,24,20,33327798706.11644,0.8328
1,indisag,5,10,3,22,25,2396839723.8330927,0.8341
1,indisag,5,10,3,21,30,650630110.7823263,0.836
1,indisag,5,10,3,19,35,46242011.690785155,0.8363
1,indisag,5,10,3,18,40,12344894.760129627,0.8362
1,indisag,5,10,3,17,45,3281084.7334321993,0.8364
1,indisag,5,10,3,15,50,239559.20276012653,0.8359
1,indisag,5,10,3,14,55,64959.12081030528,0.8356
1,indisag,5,10,3,14,60,64710.75739842981,0.8344
1,indisag,5,10,3,13,65,17716.514702792876,0.8337
1,indisag,5,10,3,12,70,4874.477356572677,0.8328
1,indisag,5,10,3,12,75,4796.875641115532,0.8328
1,indisag,5,10,3,11,80,1337.859823971623,0.8321
1,indisag,5,10,3,11,85,1321.4895645634551,0.8323
1,indisag,5,10,3,10,90,376.6840474457438,0.8313
1,indisag,5,10,3,10,95,370.6989125496508,0.8315
1,indisag,5,10,3,10,100,363.69192699749107,0.8309
1,indisag,5,10,3,9,105,106.81321553182286,0.8305
1,indisag,5,10,3,9,110,105.82766440465619,0.8307
1,indisag,5,10,3,9,115,104.16803549129975,0.8304
1,indisag,5,10,3,9,120,102.58504591421129,0.8301
1,indisag,5,10,3,8,125,31.641947037847657,0.8292
1,indisag,5,10,3,8,130,31.080550124055506,0.8295
1,indisag,5,10,3,8,135,30.860689656467073,0.8288
1,indisag,5,10,3,8,140,30.168342361522377,0.8284
1,indisag,5,10,3,8,145,29.883413027041676,0.8288
1,indisag,5,10,3,7,150,9.760817958503056,0.8286
1,indisag,5,10,3,7,155,9.700762515625424,0.8285
1,indisag,5,10,3,7,160,9.578713853366466,0.8287
1,indisag,5,10,3,7,165,9.472018794097831,0.8278
1,indisag,5,10,3,7,170,9.380367409315104,0.8284
1,indisag,5,10,3,7,175,9.287778274153583,0.8284
1,indisag,5,10,3,6,180,3.3233576288930777,0.8271
1,indisag,5,10,3,6,185,3.3201501918992746,0.8279
1,indisag,5,10,3,6,190,3.3107973290077473,0.8278
1,indisag,5,10,3,6,195,3.2875239815190476,0.8282
1,indisag,5,10,3,6,200,3.2510747515019216,0.8286
1,indisag,5,10,3,6,205,3.235490191490543,0.8287
1,indisag,5,10,3,6,210,3.213297420340914,0.8287
1,indisag,5,10,3,6,215,3.20952148540065,0.829
1,indisag,5,10,3,6,220,3.1721137845802936,0.8288
1,indisag,5,10,3,6,225,3.159736287253672,0.829
1,indisag,5,10,3,5,230,1.3093110974666873,0.8279
1,indisag,5,10,3,5,235,1.3225168362547826,0.8276
1,indisag,5,10,3,5,240,1.3117562495766601,0.828
1,indisag,5,10,3,5,245,1.3086219133999322,0.8282
1,indisag,5,10,3,5,250,1.3094872159194288,0.8278
1,indisag,5,10,3,5,255,1.30135900434398,0.8277
1,indisag,5,10,3,5,260,1.3089940665218665,0.8277
1,indisag,5,10,3,5,265,1.2879356564097229,0.8282
