case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,js,5,10,3,41,5,2.8117204520609342e+110,0.8304333333333334
1,js,5,10,3,33,10,5.935292164389025e+87,0.8302166666666667
1,js,5,10,3,28,15,3.641123983511782e+73,0.8322333333333334
1,js,5,10,3,26,20,7.368158776212141e+67,0.8329666666666666
1,js,5,10,3,23,25,2.2423280498474136e+59,0.8325
1,js,5,10,3,22,30,3.0204676387310486e+56,0.8339166666666666
1,js,5,10,3,20,35,6.3084251220930705e+50,0.8332166666666667
1,js,5,10,3,19,40,8.698702405868141e+47,0.8336833333333333
1,js,5,10,3,18,45,1.2129104289386137e+45,0.8335666666666667
1,js,5,10,3,17,50,1.7122046032376157e+42,0.8323
1,js,5,10,3,15,55,4.085393714272824e+36,0.8293666666666667
1,js,5,10,3,14,60,6.167291868201236e+33,0.8277833333333333
1,js,5,10,3,14,65,5.589888207876132e+33,0.82875
1,js,5,10,3,13,70,8.715902072465432e+30,0.8264666666666667
1,js,5,10,3,12,75,1.3939542853544619e+28,0.8238166666666666
1,js,5,10,3,12,80,1.2864230249560283e+28,0.8243666666666667
1,js,5,10,3,11,85,2.131251561933177e+25,0.82075
1,js,5,10,3,11,90,1.9619123513807953e+25,0.82045
1,js,5,10,3,11,95,1.8113398893158988e+25,0.8211833333333334
1,js,5,10,3,10,100,3.164754402614188e+22,0.8173833333333334
1,js,5,10,3,10,105,2.9404982092087125e+22,0.8176166666666667
1,js,5,10,3,9,110,5.3970773014173475e+19,0.8137333333333333
1,js,5,10,3,9,115,5.0781160473077514e+19,0.8128666666666666
1,js,5,10,3,9,120,4.757760484499134e+19,0.8137666666666666
1,js,5,10,3,9,125,4.451770792209359e+19,0.8134833333333333
1,js,5,10,3,8,130,8.749917601696144e+16,0.8089833333333334
1,js,5,10,3,8,135,8.279347428409718e+16,0.8091666666666667
1,js,5,10,3,7,140,169125658359055.44,0.8046166666666666
1,js,5,10,3,7,145,162291567114108.0,0.8040666666666667
1,js,5,10,3,7,150,155351421370798.5,0.8042
1,js,5,10,3,7,155,147936848817662.56,0.8043
1,js,5,10,3,7,160,141783393602598.78,0.8039333333333334
1,js,5,10,3,7,165,134275214315230.94,0.8041166666666667
1,js,5,10,3,7,170,128782086469817.34,0.80415
1,js,5,10,3,7,175,123124647979583.28,0.8038666666666666
1,js,5,10,3,7,180,117360401106242.8,0.8035333333333333
1,js,5,10,3,7,185,111703502574213.03,0.8033333333333333
1,js,5,10,3,6,190,266810704191.89523,0.7970166666666667
