case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,disag,5,10,3,36,5,1.311578101893867e+17,0.8152
1,disag,5,10,3,27,10,1083067388409.0394,0.8075
1,disag,5,10,3,25,15,88659090228.93567,0.8097
1,disag,5,10,3,24,20,25254640988.449005,0.8113
1,disag,5,10,3,19,25,34448475.27761855,0.8052
1,disag,5,10,3,18,30,9454248.652663799,0.8054
1,disag,5,10,3,18,35,9423704.682899332,0.808
1,disag,5,10,3,16,40,696017.8341718484,0.8048
1,disag,5,10,3,14,45,52368.40459104029,0.7998
1,disag,5,10,3,13,50,14490.28663139218,0.7968
1,disag,5,10,3,13,55,14291.363695688062,0.7978
1,disag,5,10,3,12,60,4035.4162267717493,0.7946
1,disag,5,10,3,11,65,1157.6797681261075,0.7931
1,disag,5,10,3,11,70,1144.0476837454403,0.7927
1,disag,5,10,3,10,75,334.1740670625909,0.7891
1,disag,5,10,3,10,80,331.3779096149235,0.7881
1,disag,5,10,3,10,85,327.58365335457916,0.7876
1,disag,5,10,3,10,90,321.9347353857788,0.7883
1,disag,5,10,3,10,95,317.1540920507859,0.787
1,disag,5,10,3,8,100,31.213409295828455,0.7795
1,disag,5,10,3,8,105,31.036563218864963,0.7791
1,disag,5,10,3,8,110,30.850696855062004,0.778
1,disag,5,10,3,8,115,30.772365674725418,0.7774
1,disag,5,10,3,7,120,10.48374218495201,0.7712
1,disag,5,10,3,7,125,10.462709627726804,0.77
1,disag,5,10,3,7,130,10.457872800166163,0.77
1,disag,5,10,3,6,135,3.930707045421349,0.7619
1,disag,5,10,3,6,140,3.9265113874768303,0.7616
1,disag,5,10,3,6,145,3.9176593507238846,0.7596
1,disag,5,10,3,7,150,10.147539030761429,0.7684
1,disag,5,10,3,7,155,10.064227580245706,0.7678
1,disag,5,10,3,6,160,3.9188920196106607,0.7592
1,disag,5,10,3,6,165,3.9001489495354966,0.7591
1,disag,5,10,3,7,170,9.893594950499438,0.7671
1,disag,5,10,3,6,175,3.926076433272818,0.7592
1,disag,5,10,3,6,180,3.901716746890603,0.7586
1,disag,5,10,3,6,185,3.889591656937398,0.7571
1,disag,5,10,3,6,190,3.873334011863281,0.7569
1,disag,5,10,3,6,195,3.865592953976463,0.7568
1,disag,5,10,3,6,200,3.8309537750109395,0.7568
1,disag,5,10,3,5,205,1.7559974809929926,0.7447
1,disag,5,10,3,5,210,1.757839261534209,0.7436
1,disag,5,10,3,5,215,1.7697437020359814,0.7419
1,disag,5,10,3,4,220,0.9379551506270069,0.7296
1,disag,5,10,3,5,225,1.7706803135482987,0.7421
1,disag,5,10,3,5,230,1.778260371902486,0.7408
1,disag,5,10,3,5,235,1.7763007475443895,0.7403
1,disag,5,10,3,5,240,1.7840218139259254,0.7406
1,disag,5,10,3,5,245,1.7809086552249138,0.7392
1,disag,5,10,3,5,250,1.775213061955352,0.7397
1,disag,5,10,3,5,255,1.7782589712406376,0.7391
1,disag,5,10,3,5,260,1.7869040373902207,0.7383
1,disag,5,10,3,5,265,1.7804169192341206,0.7387
1,disag,5,10,3,5,270,1.778715879331054,0.738
1,disag,5,10,3,5,275,1.7819862623490714,0.737
1,disag,5,10,3,4,280,0.9823031138358846,0.7259
1,disag,5,10,3,5,285,1.7821716494552988,0.7363
1,disag,5,10,3,4,290,0.9910749788278559,0.7243
1,disag,5,10,3,4,295,0.9903992651638518,0.7252
1,disag,5,10,3,5,300,1.7621728629462252,0.7369
1,disag,5,10,3,4,305,0.994795405934128,0.724
1,disag,5,10,3,4,310,0.9942194816077389,0.724
1,disag,5,10,3,4,315,0.995630220525113,0.724
1,disag,5,10,3,4,320,1.0015493413680665,0.7234
1,disag,5,10,3,4,325,1.0030574252935343,0.723
1,disag,5,10,3,4,330,0.9993492805110683,0.7225
1,disag,5,10,3,4,335,1.0008244353427644,0.7233
1,disag,5,10,3,4,340,1.007937615099348,0.7221
1,disag,5,10,3,4,345,1.0138210249465007,0.7225
1,disag,5,10,3,4,350,1.0129166631204936,0.7207
1,disag,5,10,3,4,355,1.010020919693545,0.7222
1,disag,5,10,3,4,360,1.014461005561403,0.7213
1,disag,5,10,3,4,365,1.016970071398106,0.7204
1,disag,5,10,3,4,370,1.0114704712908358,0.7213
1,disag,5,10,3,4,375,1.0195038981401003,0.72
1,disag,5,10,3,4,380,1.0207231110619703,0.7203
1,disag,5,10,3,4,385,1.0170920474280942,0.7204
1,disag,5,10,3,4,390,1.025011893394154,0.7194
1,disag,5,10,3,4,395,1.02202800507657,0.7187
1,disag,5,10,3,4,400,1.0207166789719122,0.7189
1,disag,5,10,3,4,405,1.0206695277015703,0.7193
1,disag,5,10,3,4,410,1.0196254167434797,0.7199
1,disag,5,10,3,3,415,0.6339903567119201,0.7136
1,disag,5,10,3,3,420,0.6351201651391941,0.7129
1,disag,5,10,3,4,425,1.030165129309326,0.7179
1,disag,5,10,3,3,430,0.6413613034566095,0.711
1,disag,5,10,3,3,435,0.6421279773507179,0.7105
1,disag,5,10,3,3,440,0.6378649459431297,0.7134
1,disag,5,10,3,3,445,0.6379045841669349,0.714
1,disag,5,10,3,3,450,0.641408198946317,0.713
1,disag,5,10,3,3,455,0.644890387390296,0.7119
1,disag,5,10,3,3,460,0.6445221152141625,0.7127
1,disag,5,10,3,4,465,1.0367301910522326,0.7183
1,disag,5,10,3,3,470,0.6452728279032268,0.7125
1,disag,5,10,3,3,475,0.6463336429075032,0.7122
1,disag,5,10,3,3,480,0.6491085783880467,0.7111
1,disag,5,10,3,3,485,0.6497773288941744,0.7116
1,disag,5,10,3,3,490,0.6498942565446988,0.7112
1,disag,5,10,3,3,495,0.6502111644203823,0.7108
1,disag,5,10,3,3,500,0.6479558379235048,0.7112
1,disag,5,10,3,3,505,0.650704648151892,0.7108
1,disag,5,10,3,3,510,0.6512285974590029,0.7109
1,disag,5,10,3,3,515,0.6530263450488868,0.71
1,disag,5,10,3,3,520,0.6556751883956815,0.7096
1,disag,5,10,3,3,525,0.6548633117901577,0.7103
1,disag,5,10,3,3,530,0.6547092089349179,0.7113
1,disag,5,10,3,3,535,0.6528189879252526,0.7124
1,disag,5,10,3,3,540,0.6571297778209977,0.7096
1,disag,5,10,3,3,545,0.656362259932569,0.7107
1,disag,5,10,3,3,550,0.657590193464727,0.7092
1,disag,5,10,3,3,555,0.6553286485277946,0.7104
1,disag,5,10,3,3,560,0.6578444652954328,0.7096
1,disag,5,10,3,3,565,0.6574452194116116,0.7101
1,disag,5,10,3,3,570,0.6574375995716674,0.7101
1,disag,5,10,3,3,575,0.6548287241473582,0.7127
