case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,fed_dis,5,10,3,31,5,6.497944625064607,0.8229
1,fed_dis,5,10,3,27,10,3.4569540289211096,0.8239
1,fed_dis,5,10,3,24,15,1.8997295989501821,0.8251
1,fed_dis,5,10,3,20,20,0.796302159865661,0.8242
1,fed_dis,5,10,3,20,25,0.8804092270861409,0.8262
1,fed_dis,5,10,3,19,30,0.7546471852850785,0.8271
1,fed_dis,5,10,3,18,35,0.6488947745893661,0.826
1,fed_dis,5,10,3,14,40,0.36288331490486625,0.8196
1,fed_dis,5,10,3,14,45,0.37346647415448797,0.8199
1,fed_dis,5,10,3,13,50,0.3456879027210085,0.817
1,fed_dis,5,10,3,13,55,0.3546297122705103,0.8161
1,fed_dis,5,10,3,13,60,0.3615596574216127,0.814
1,fed_dis,5,10,3,12,65,0.3408128055048336,0.8096
1,fed_dis,5,10,3,11,70,0.32504240242046806,0.8064
1,fed_dis,5,10,3,11,75,0.3294287346241077,0.8056
1,fed_dis,5,10,3,10,80,0.32118956919318525,0.8025
1,fed_dis,5,10,3,10,85,0.3241690753691464,0.8018
1,fed_dis,5,10,3,10,90,0.32692957804748474,0.7994
1,fed_dis,5,10,3,9,95,0.3228977940498899,0.7959
1,fed_dis,5,10,3,9,100,0.3227608278911023,0.7959
1,fed_dis,5,10,3,8,105,0.3226517662699723,0.7914
1,fed_dis,5,10,3,8,110,0.32426983344885807,0.7915
1,fed_dis,5,10,3,8,115,0.3266241060995102,0.7908
1,fed_dis,5,10,3,8,120,0.3275574452499209,0.7899
1,fed_dis,5,10,3,8,125,0.3288770647049304,0.7891
1,fed_dis,5,10,3,7,130,0.33176347108168325,0.7849
1,fed_dis,5,10,3,7,135,0.33155053481813335,0.7851
1,fed_dis,5,10,3,7,140,0.3320282923015315,0.7851
1,fed_dis,5,10,3,7,145,0.3333627932073359,0.7834
1,fed_dis,5,10,3,7,150,0.3329152848830965,0.7847
1,fed_dis,5,10,3,6,155,0.3402360035907466,0.7805
1,fed_dis,5,10,3,6,160,0.34103417495543115,0.7797
1,fed_dis,5,10,3,6,165,0.34133449715570374,0.7788
1,fed_dis,5,10,3,6,170,0.3419642251716497,0.7789
1,fed_dis,5,10,3,6,175,0.3416417384596417,0.7788
1,fed_dis,5,10,3,6,180,0.3415289430353531,0.7793
1,fed_dis,5,10,3,6,185,0.34190058062802997,0.7782
1,fed_dis,5,10,3,6,190,0.3420897317131998,0.7774
1,fed_dis,5,10,3,5,195,0.3544822756351489,0.7739
1,fed_dis,5,10,3,5,200,0.3539209856997715,0.775
1,fed_dis,5,10,3,5,205,0.35414337367767146,0.7729
1,fed_dis,5,10,3,5,210,0.3543952865495031,0.7747
1,fed_dis,5,10,3,5,215,0.3551220946915499,0.7715
1,fed_dis,5,10,3,5,220,0.35448881481904515,0.7725
1,fed_dis,5,10,3,5,225,0.35468563591126084,0.7718
1,fed_dis,5,10,3,5,230,0.35497263480141034,0.7723
1,fed_dis,5,10,3,5,235,0.3548446426375893,0.7723
1,fed_dis,5,10,3,5,240,0.35488396569824654,0.7717
1,fed_dis,5,10,3,5,245,0.35509747874931696,0.772
1,fed_dis,5,10,3,5,250,0.3548675769478382,0.7718
1,fed_dis,5,10,3,5,255,0.35472892258757005,0.772
1,fed_dis,5,10,3,5,260,0.3554381866649636,0.7713
1,fed_dis,5,10,3,5,265,0.3549347834444073,0.7719
1,fed_dis,5,10,3,5,270,0.3551566779948217,0.7704
1,fed_dis,5,10,3,5,275,0.35542049356883654,0.7707
1,fed_dis,5,10,3,5,280,0.35475357234913857,0.7708
1,fed_dis,5,10,3,5,285,0.3550218725673518,0.7704
1,fed_dis,5,10,3,4,290,0.37379124859743107,0.767
1,fed_dis,5,10,3,4,295,0.3734058624930895,0.7678
1,fed_dis,5,10,3,4,300,0.3728749304235023,0.7682
1,fed_dis,5,10,3,4,305,0.37324030672376485,0.7673
1,fed_dis,5,10,3,4,310,0.3730179448435247,0.7674
1,fed_dis,5,10,3,3,315,0.4034660442096926,0.766
