case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,feddis,5,10,3,38,5,1.7192961627850372e+31,0.83
1,feddis,5,10,3,31,10,6.362328773601705e+24,0.831
1,feddis,5,10,3,27,15,1.2640150230179109e+21,0.8328
1,feddis,5,10,3,24,20,2.0909789162176195e+18,0.8327
1,feddis,5,10,3,21,25,3480016472168280.0,0.8319
1,feddis,5,10,3,20,30,406209141009153.3,0.8325
1,feddis,5,10,3,19,35,46991362283828.14,0.8321
1,feddis,5,10,3,18,40,5471291908259.875,0.8326
1,feddis,5,10,3,16,45,79860511208.55757,0.8303
1,feddis,5,10,3,15,50,9536686609.445335,0.8302
1,feddis,5,10,3,14,55,1155824873.854448,0.8284
1,feddis,5,10,3,14,60,1103143908.4716744,0.8285
1,feddis,5,10,3,13,65,137119380.90209752,0.8269
1,feddis,5,10,3,12,70,17283179.68233498,0.8235
1,feddis,5,10,3,12,75,16515906.984259762,0.8243
1,feddis,5,10,3,11,80,2140224.5083729066,0.8203
1,feddis,5,10,3,11,85,2053930.1663123798,0.8206
1,feddis,5,10,3,10,90,271057.64892560197,0.8167
1,feddis,5,10,3,10,95,262007.69919800042,0.8166
1,feddis,5,10,3,10,100,252677.01440181673,0.8177
1,feddis,5,10,3,9,105,34664.12989784002,0.8145
1,feddis,5,10,3,9,110,33750.2606088406,0.8141
1,feddis,5,10,3,9,115,32754.462916468543,0.8119
1,feddis,5,10,3,8,120,4686.034906246466,0.8096
1,feddis,5,10,3,8,125,4591.948178785093,0.8097
1,feddis,5,10,3,8,130,4459.901571180765,0.8076
1,feddis,5,10,3,8,135,4340.540955937145,0.8075
1,feddis,5,10,3,8,140,4189.894860934845,0.8084
1,feddis,5,10,3,7,145,642.8019509140463,0.8024
1,feddis,5,10,3,7,150,628.6330447610245,0.8028
1,feddis,5,10,3,7,155,613.8560148027404,0.8022
1,feddis,5,10,3,7,160,602.326729323921,0.8019
1,feddis,5,10,3,7,165,585.5277909422462,0.8024
1,feddis,5,10,3,7,170,575.82220899958,0.802
1,feddis,5,10,3,7,175,564.8086543354797,0.802
1,feddis,5,10,3,6,180,95.33354830000698,0.7934
1,feddis,5,10,3,6,185,93.81174398617232,0.7928
1,feddis,5,10,3,6,190,91.9472640554772,0.7926
1,feddis,5,10,3,6,195,90.5810256872526,0.7939
1,feddis,5,10,3,6,200,88.80262479734861,0.7931
1,feddis,5,10,3,6,205,87.213889138779,0.7921
1,feddis,5,10,3,6,210,85.8005925146004,0.7922
1,feddis,5,10,3,6,215,84.34286075678659,0.7917
1,feddis,5,10,3,6,220,82.80732474918956,0.7912
1,feddis,5,10,3,6,225,81.75076238627119,0.7904
1,feddis,5,10,3,5,230,16.25614363915922,0.7812
1,feddis,5,10,3,5,235,16.100447754676704,0.7812
1,feddis,5,10,3,5,240,15.990952294772454,0.7815
1,feddis,5,10,3,5,245,15.799433812701274,0.7806
1,feddis,5,10,3,5,250,15.57751188142341,0.7807
1,feddis,5,10,3,5,255,15.434401821396724,0.7806
1,feddis,5,10,3,5,260,15.365789840591301,0.7799
1,feddis,5,10,3,5,265,15.199300511444545,0.7801
1,feddis,5,10,3,5,270,15.009286157767086,0.7798
1,feddis,5,10,3,5,275,14.86243253048244,0.7798
1,feddis,5,10,3,5,280,14.644465304193435,0.7788
1,feddis,5,10,3,5,285,14.566260670505883,0.779
1,feddis,5,10,3,5,290,14.383711790690375,0.7787
1,feddis,5,10,3,5,295,14.25443666933149,0.778
1,feddis,5,10,3,5,300,13.959721464786929,0.7782
1,feddis,5,10,3,5,305,13.849946071626904,0.7768
1,feddis,5,10,3,4,310,3.6116279104115345,0.7661
1,feddis,5,10,3,4,315,3.6027423625452917,0.766
1,feddis,5,10,3,4,320,3.6074851156179224,0.7665
1,feddis,5,10,3,4,325,3.591352027535816,0.7662
1,feddis,5,10,3,4,330,3.5511928966640425,0.7654
1,feddis,5,10,3,4,335,3.5425752832289934,0.7652
1,feddis,5,10,3,4,340,3.5459830703067645,0.7656
1,feddis,5,10,3,4,345,3.5436691912691565,0.7658
1,feddis,5,10,3,4,350,3.5265854095607314,0.7646
1,feddis,5,10,3,4,355,3.5026897800932457,0.7651
1,feddis,5,10,3,4,360,3.496369961696273,0.7641
1,feddis,5,10,3,4,365,3.4845482707436295,0.7634
1,feddis,5,10,3,4,370,3.4452798609971182,0.7634
1,feddis,5,10,3,4,375,3.4517802618954048,0.763
1,feddis,5,10,3,4,380,3.444980650828641,0.7627
1,feddis,5,10,3,4,385,3.417116457163889,0.7627
1,feddis,5,10,3,4,390,3.4173417480088366,0.7625
1,feddis,5,10,3,4,395,3.3906559617308876,0.7619
1,feddis,5,10,3,4,400,3.370368109647197,0.7618
1,feddis,5,10,3,3,405,1.2454537589856531,0.7462
1,feddis,5,10,3,3,410,1.2483922938723062,0.7459
1,feddis,5,10,3,3,415,1.2522723848436836,0.7457
1,feddis,5,10,3,3,420,1.2528232436273832,0.7446
1,feddis,5,10,3,3,425,1.2626863073723986,0.7451
1,feddis,5,10,3,3,430,1.266232192021393,0.744
1,feddis,5,10,3,3,435,1.2686714575007096,0.7435
1,feddis,5,10,3,3,440,1.2565883825105262,0.7452
1,feddis,5,10,3,3,445,1.2583490146240106,0.745
1,feddis,5,10,3,3,450,1.2667155632293252,0.7439
1,feddis,5,10,3,3,455,1.2733504341712767,0.7426
1,feddis,5,10,3,3,460,1.2735681717212328,0.743
1,feddis,5,10,3,3,465,1.2770903184294162,0.7433
1,feddis,5,10,3,3,470,1.2742459295394801,0.7431
1,feddis,5,10,3,3,475,1.2769918334124906,0.7442
1,feddis,5,10,3,3,480,1.2822592323661473,0.7443
1,feddis,5,10,3,3,485,1.2835961609792867,0.7434
1,feddis,5,10,3,3,490,1.2822061228188928,0.7422
1,feddis,5,10,3,3,495,1.2823281858595716,0.7423
1,feddis,5,10,3,3,500,1.2727649629430497,0.7419
1,feddis,5,10,3,3,505,1.2805284967303365,0.7423
1,feddis,5,10,3,3,510,1.2805623094435141,0.7411
1,feddis,5,10,3,3,515,1.284531254612488,0.7414
1,feddis,5,10,3,3,520,1.2920510990313054,0.7421
1,feddis,5,10,3,3,525,1.2921892379746012,0.743
1,feddis,5,10,3,3,530,1.288634517924298,0.7416
1,feddis,5,10,3,3,535,1.2846832498994363,0.7425
1,feddis,5,10,3,3,540,1.2939708853041305,0.7423
