case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,jsag,5,10,3,27,5,3.3420484571520777e+70,0.826
1,jsag,5,10,3,27,10,5.1228324562830926e+70,0.831
1,jsag,5,10,3,17,15,2.409317401344514e+42,0.8229
1,jsag,5,10,3,22,20,3.54424598479332e+56,0.8319
1,jsag,5,10,3,21,25,5.069392563045489e+53,0.8343
1,jsag,5,10,3,20,30,7.067527415668688e+50,0.8351
1,jsag,5,10,3,17,35,2.3897449656039482e+42,0.8325
1,jsag,5,10,3,16,40,3.429274149218401e+39,0.8323
1,jsag,5,10,3,16,45,3.103276222775143e+39,0.8341
1,jsag,5,10,3,15,50,4.529884953731343e+36,0.8342
1,jsag,5,10,3,14,55,6.760379576882026e+33,0.8328
1,jsag,5,10,3,13,60,1.037368125448194e+31,0.8314
1,jsag,5,10,3,13,65,9.572147193000036e+30,0.832
1,jsag,5,10,3,12,70,1.5199223740885488e+28,0.8295
1,jsag,5,10,3,12,75,1.3939542853544619e+28,0.829
1,jsag,5,10,3,11,80,2.302845334926684e+25,0.8257
1,jsag,5,10,3,10,85,3.909180881573201e+22,0.8231
1,jsag,5,10,3,10,90,3.6188339861556073e+22,0.8237
1,jsag,5,10,3,10,95,3.3963656740590523e+22,0.8229
1,jsag,5,10,3,10,100,3.164754402614188e+22,0.823
1,jsag,5,10,3,9,105,5.6946506424037425e+19,0.8194
1,jsag,5,10,3,9,110,5.3970773014173475e+19,0.8199
1,jsag,5,10,3,8,115,1.023304146773038e+17,0.8153
1,jsag,5,10,3,8,120,9.6735030991953e+16,0.8155
1,jsag,5,10,3,8,125,9.26685425351918e+16,0.8164
1,jsag,5,10,3,8,130,8.749917601696144e+16,0.8148
1,jsag,5,10,3,8,135,8.279347428409718e+16,0.8154
1,jsag,5,10,3,7,140,169125658359055.44,0.8114
1,jsag,5,10,3,7,145,162291567114108.0,0.8124
1,jsag,5,10,3,7,150,155351421370798.5,0.8109
1,jsag,5,10,3,7,155,147936848817662.56,0.8101
1,jsag,5,10,3,7,160,141783393602598.78,0.812
1,jsag,5,10,3,7,165,134275214315230.94,0.812
1,jsag,5,10,3,6,170,310026206113.51355,0.8046
1,jsag,5,10,3,6,175,300380189000.0043,0.8039
1,jsag,5,10,3,6,180,288438416789.65234,0.8039
1,jsag,5,10,3,6,185,278512586782.8419,0.8026
1,jsag,5,10,3,6,190,266810704191.89523,0.8034
1,jsag,5,10,3,6,195,257545435768.24368,0.8042
