case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,klag,5,10,3,35,5,2.3860693055383205e+43,0.822
1,klag,5,10,3,30,10,4.3812028688205355e+36,0.8234
1,klag,5,10,3,27,15,3.5006505085429954e+32,0.8286
1,klag,5,10,3,24,20,2.7634172788307348e+28,0.8269
1,klag,5,10,3,22,25,5.112121171867995e+25,0.8262
1,klag,5,10,3,21,30,2.0996737572062805e+24,0.8273
1,klag,5,10,3,19,35,3.9026312228388686e+21,0.8272
1,klag,5,10,3,17,40,7.518957314006893e+18,0.8253
1,klag,5,10,3,16,45,3.2134585355206285e+17,0.8238
1,klag,5,10,3,15,50,1.3950891759494866e+16,0.8226
1,klag,5,10,3,14,55,616635373788176.4,0.8214
1,klag,5,10,3,13,60,27888573849335.918,0.8176
1,klag,5,10,3,12,65,1296046849290.8372,0.8158
1,klag,5,10,3,12,70,1220991479666.0967,0.8166
1,klag,5,10,3,12,75,1143667666592.7886,0.8172
1,klag,5,10,3,11,80,54879037520.585495,0.815
1,klag,5,10,3,11,85,51759199124.969894,0.8148
1,klag,5,10,3,10,90,2541288696.8808045,0.8104
1,klag,5,10,3,10,95,2421143377.426313,0.8104
1,klag,5,10,3,10,100,2296557084.6660695,0.8112
1,klag,5,10,3,9,105,118190437.95687431,0.8065
1,klag,5,10,3,9,110,113413649.31662637,0.8065
1,klag,5,10,3,9,115,108530913.60092247,0.8047
1,klag,5,10,3,8,120,5862555.487920246,0.7987
1,klag,5,10,3,8,125,5666336.251680605,0.8001
1,klag,5,10,3,8,130,5434541.0909212325,0.7979
1,klag,5,10,3,8,135,5209937.959086855,0.7988
1,klag,5,10,3,8,140,4953390.743521623,0.7998
1,klag,5,10,3,7,145,288454.05153540825,0.7934
1,klag,5,10,3,7,150,279431.33120204275,0.7928
1,klag,5,10,3,7,155,269429.2177475198,0.7923
1,klag,5,10,3,7,160,261242.6146456982,0.793
1,klag,5,10,3,7,165,250469.99196471315,0.7926
1,klag,5,10,3,7,170,243486.35007751384,0.7917
1,klag,5,10,3,7,175,235527.26159130668,0.7916
1,klag,5,10,3,6,180,15095.034064926733,0.786
1,klag,5,10,3,6,185,14728.390649337029,0.7848
1,klag,5,10,3,6,190,14253.197684468527,0.7847
1,klag,5,10,3,6,195,13874.868041313592,0.7848
1,klag,5,10,3,6,200,13453.162248492616,0.7842
1,klag,5,10,3,6,205,13067.2012574532,0.7834
1,klag,5,10,3,6,210,12690.80067906927,0.7836
1,klag,5,10,3,6,215,12328.198384021354,0.7831
1,klag,5,10,3,6,220,11977.124450318182,0.7827
1,klag,5,10,3,6,225,11689.753150223023,0.782
1,klag,5,10,3,5,230,862.8626997701041,0.7758
1,klag,5,10,3,5,235,846.990316057454,0.7753
1,klag,5,10,3,5,240,830.2884217783851,0.7757
1,klag,5,10,3,5,245,812.3578638566173,0.7756
1,klag,5,10,3,5,250,794.7941253622209,0.7759
