case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,avg,5,10,3,44,5,8.414489324574042e+21,0.8318166666666666
1,avg,5,10,3,35,10,5.48359072702751e+16,0.8408166666666667
1,avg,5,10,3,29,15,17746564845503.273,0.8456
1,avg,5,10,3,26,20,316914008767.0842,0.8492333333333333
1,avg,5,10,3,23,25,5607304467.023306,0.8501833333333333
1,avg,5,10,3,22,30,1435713720.5948813,0.8523166666666666
1,avg,5,10,3,20,35,98587295.21965906,0.8530166666666666
1,avg,5,10,3,19,40,25478095.58218798,0.8539333333333333
1,avg,5,10,3,18,45,6570599.491188843,0.8548166666666667
1,avg,5,10,3,16,50,466136.6336024782,0.8546166666666667
1,avg,5,10,3,15,55,123159.79155710668,0.8555
1,avg,5,10,3,14,60,32973.81932463191,0.85565
1,avg,5,10,3,14,65,31979.229747336147,0.85635
1,avg,5,10,3,13,70,8677.857827838452,0.8565666666666667
1,avg,5,10,3,12,75,2375.3702620886206,0.8562833333333333
1,avg,5,10,3,12,80,2297.6076255256494,0.8572166666666666
1,avg,5,10,3,11,85,643.2100261014889,0.85735
1,avg,5,10,3,11,90,626.6876599369567,0.8574833333333334
1,avg,5,10,3,10,95,178.6619123395538,0.8571166666666666
1,avg,5,10,3,10,100,174.27023343695936,0.8575166666666667
1,avg,5,10,3,9,105,51.3468396003468,0.8572833333333333
1,avg,5,10,3,9,110,50.157479778804266,0.8577
1,avg,5,10,3,9,115,49.13736047561686,0.85815
1,avg,5,10,3,9,120,48.18942784249905,0.8587
1,avg,5,10,3,8,125,14.950393785328973,0.8576
1,avg,5,10,3,8,130,14.775338447531329,0.85805
1,avg,5,10,3,8,135,14.53741850930977,0.8583
1,avg,5,10,3,8,140,14.354467034086897,0.8586833333333334
1,avg,5,10,3,8,145,14.064327880293785,0.8586333333333334
1,avg,5,10,3,7,150,4.711278548702369,0.85735
1,avg,5,10,3,7,155,4.644949185227034,0.8579166666666667
1,avg,5,10,3,7,160,4.577216546298784,0.8578
1,avg,5,10,3,7,165,4.529104485551814,0.8581
1,avg,5,10,3,7,170,4.483472363086917,0.8581666666666666
1,avg,5,10,3,7,175,4.426142424276429,0.8584166666666667
1,avg,5,10,3,7,180,4.3806132808059655,0.8585333333333334
1,avg,5,10,3,6,185,1.6374179002519476,0.8567333333333333
1,avg,5,10,3,6,190,1.6333492239751704,0.85665
1,avg,5,10,3,6,195,1.62244254648982,0.8566166666666667
1,avg,5,10,3,6,200,1.609195322902014,0.8566333333333334
1,avg,5,10,3,6,205,1.608589141180753,0.85675
