case,method,n_nodes,total_time,minibatch,iter_times,tau,loss,accuracy
1,fedjs,5,10,3,43,5,1.6509814766920412e+68,0.8276
1,fedjs,5,10,3,37,10,1.364188840034983e+58,0.8443
1,fedjs,5,10,3,32,15,4.683067447316454e+49,0.8487
1,fedjs,5,10,3,29,20,3.600490059209232e+44,0.8497
1,fedjs,5,10,3,25,25,5.75042446672097e+37,0.8498
1,fedjs,5,10,3,23,30,2.1838530233376333e+34,0.8499
1,fedjs,5,10,3,21,35,8.52973279916219e+30,0.8499
1,fedjs,5,10,3,20,40,1.6034459694125564e+29,0.8524
1,fedjs,5,10,3,19,45,3.032005517133129e+27,0.8528
1,fedjs,5,10,3,17,50,1.2857703076348526e+24,0.8523
1,fedjs,5,10,3,15,55,5.6236502467789285e+20,0.8519
1,fedjs,5,10,3,15,60,5.049032631863282e+20,0.853
1,fedjs,5,10,3,14,65,1.0418971249538818e+19,0.8522
1,fedjs,5,10,3,14,70,9.396661757785395e+18,0.8522
1,fedjs,5,10,3,13,75,2.000498265431701e+17,0.852
1,fedjs,5,10,3,12,80,4363971244001808.0,0.851
1,fedjs,5,10,3,12,85,3976711198435699.5,0.8518
1,fedjs,5,10,3,12,90,3687409603828231.5,0.8524
1,fedjs,5,10,3,11,95,83406989959719.9,0.8511
1,fedjs,5,10,3,11,100,77129343099593.66,0.8519
1,fedjs,5,10,3,10,105,1798705014854.8833,0.85
1,fedjs,5,10,3,10,110,1678024669040.277,0.8514
1,fedjs,5,10,3,10,115,1566726979314.4644,0.851
1,fedjs,5,10,3,9,120,38425224872.018654,0.8494
1,fedjs,5,10,3,9,125,36270348970.318665,0.85
1,fedjs,5,10,3,9,130,34071596629.3965,0.8499
1,fedjs,5,10,3,8,135,872437292.9302027,0.8483
1,fedjs,5,10,3,8,140,832781490.4897859,0.8484
1,fedjs,5,10,3,8,145,790386315.2246385,0.8487
1,fedjs,5,10,3,8,150,751550725.9558878,0.849
1,fedjs,5,10,3,8,155,715385155.1055527,0.8493
1,fedjs,5,10,3,8,160,684354898.2272712,0.8487
1,fedjs,5,10,3,7,165,18979453.68955882,0.8473
1,fedjs,5,10,3,7,170,18244035.093753807,0.8478
1,fedjs,5,10,3,7,175,17450973.237270404,0.8478
1,fedjs,5,10,3,7,180,16737753.79013617,0.848
1,fedjs,5,10,3,6,185,490376.091449331,0.8447
1,fedjs,5,10,3,6,190,476749.94910257263,0.8451
1,fedjs,5,10,3,6,195,462783.2713303609,0.845
1,fedjs,5,10,3,6,200,447366.20764349995,0.8456
1,fedjs,5,10,3,6,205,432898.9612326503,0.8451
1,fedjs,5,10,3,6,210,417334.55733978795,0.8452
1,fedjs,5,10,3,6,215,404743.68984915887,0.8451
1,fedjs,5,10,3,6,220,391640.2371248918,0.8443
1,fedjs,5,10,3,6,225,379161.81411164725,0.8448
1,fedjs,5,10,3,5,230,12423.29354973154,0.8422
1,fedjs,5,10,3,5,235,12133.44185527532,0.8426
1,fedjs,5,10,3,5,240,11908.28705961584,0.8415
1,fedjs,5,10,3,5,245,11603.045109962954,0.842
1,fedjs,5,10,3,5,250,11299.569060224414,0.8419
1,fedjs,5,10,3,5,255,10985.317558251838,0.8422
1,fedjs,5,10,3,5,260,10713.36813373968,0.8417
1,fedjs,5,10,3,5,265,10481.367415371384,0.8421
1,fedjs,5,10,3,5,270,10244.70950952236,0.8426
1,fedjs,5,10,3,5,275,9993.31622329514,0.842
