,distype,casetype,node0,node1,node2,node3,node4
1,Mik,case1,15200.098420733992,15201.127721323835,15200.257695183987,15201.557814908312,15202.435331222428
1,Mik,case2,14380.390328499432,14645.451683031151,16828.887604354604,16840.5370757586,16854.727645381874
1,Mik,case3,15545.206881865548,17651.380342624765,15249.102563757646,15412.481695041846,17680.40661297132
1,Mik,case1,[15200.09842073],[15201.12772132],[15200.25769518],[15201.55781491],[15202.43533122]
1,Mik,case2,[14380.3903285],[14645.45168303],[16828.88760435],[16840.53707576],[16854.72764538]
1,Mik,case3,[15545.20688187],[17651.38034262],[15249.10256376],[15412.48169504],[17680.40661297]
1,Mik,case1,[15200.09842073],[15201.12772132],[15200.25769518],[15201.55781491],[15202.43533122]
1,Mik,case2,[14380.3903285],[14645.45168303],[16828.88760435],[16840.53707576],[16854.72764538]
1,Mik,case3,[15545.20688187],[17651.38034262],[15249.10256376],[15412.48169504],[17680.40661297]
1,Mik,case1,15200.098420733992,15201.127721323835,15200.257695183987,15201.557814908312,15202.435331222428
1,Mik,case2,14380.390328499432,14645.451683031151,16828.887604354604,16840.5370757586,16854.727645381874
1,Mik,case3,15545.206881865548,17651.380342624765,15249.102563757646,15412.481695041846,17680.40661297132
