Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.22310205209594886,0.8732,32.45294855708909,13.166902661689017,0.013511160353298891,0.0021566363956531044,0.14954167480551797,0.0602568333237364,7.5285107016370985,5.032713317869356,0.5457103401466104,0.10275623568843703,0.1631423899648001,0.16295118915710002,15.067980675964547,
distributed,0,0,1,0.2452228032995172,0.8463,1.0,0.0,0.012620032144896523,0.006348817736115137,0.1279958735843859,0.050194006574482856,nan,nan,nan,nan,nan,nan,15.045901913033221,
distributed,0,0,2,0.23436651883030843,0.8556,1.9891304347826086,0.14506169422830154,0.013406123120114988,0.005074937165401567,0.13730071037922242,0.05926658105710308,nan,nan,nan,nan,nan,nan,15.22477013874777,
distributed,0,0,3,0.23035683273239835,0.8611,2.984251968503937,0.301429799925947,0.012832961508599382,0.0037688383678187256,0.13620774013037726,0.047739119815321515,nan,nan,nan,nan,nan,nan,15.012771140628056,
distributed,0,0,5,0.22646598306449492,0.8682,4.979057591623037,0.6322475900481002,0.01284411035299855,0.002990696649794645,0.13036607955461138,0.052858848765863366,nan,nan,nan,nan,nan,nan,15.056591645331734,
distributed,0,0,7,0.22513514737705423,0.8692,6.966101694915254,0.926629992066422,0.013454452893902779,0.0028590711812818007,0.12380723038270383,0.04997047797105703,nan,nan,nan,nan,nan,nan,14.83774656465222,
distributed,0,0,10,0.2244310442589565,0.8696,9.953959484346225,1.5802310280591303,0.013354421926435683,0.00207173556545389,0.13949215784020533,0.04592783156571139,nan,nan,nan,nan,nan,nan,14.971383648130612,
distributed,0,0,20,0.22332483507982465,0.8726,19.94736842105263,4.242640687119285,0.013690806776899413,0.0020468031229286168,0.14176777121062317,0.056447127382122035,nan,nan,nan,nan,nan,nan,15.117783736661895,
distributed,0,0,30,0.22306751219521703,0.8744,29.93569844789357,7.019782315000943,0.012183117554401525,0.003110657411566281,0.1204364007342061,0.06042544319916713,nan,nan,nan,nan,nan,nan,15.482212761627139,
distributed,0,0,50,0.22303043199411254,0.8738,49.29533116178067,12.224872187470918,0.01325019907816192,0.002323765992742908,0.14413500247761157,0.0457801415356369,nan,nan,nan,nan,nan,nan,14.650792974998843,
distributed,0,0,70,0.2226691007583406,0.8743,69.85918367346939,17.195606674057444,0.013875426067993598,0.002647665601373535,0.1236419199065595,0.039304706634895666,nan,nan,nan,nan,nan,nan,14.815564468956763,
distributed,0,0,100,0.22276284073346164,0.874,98.5811209439528,34.23722389446901,0.013220922990755508,0.0010531462676101424,0.14538930986350176,0.07614294131946303,nan,nan,nan,nan,nan,nan,14.851910934096612,
distributed,0,1,-1,0.2274907895486444,0.8631,8.441340782122905,2.5768874901857814,0.012570641846149082,0.0028986194904713166,0.12161215748627688,0.05350681882882647,12.25943813215165,2.9284935409782338,1.3433861109060536,0.17449012748201184,0.919733775676063,0.2077367249039785,15.39997584282199,
distributed,0,1,1,0.24700259347420556,0.8457,1.0,0.0,0.013768252991033472,0.0067962597405455925,0.13564693658243748,0.05617406645443024,nan,nan,nan,nan,nan,nan,15.090934146920567,
distributed,0,1,2,0.2343966871740527,0.8556,1.9894736842105263,0.1428261375083551,0.01291531863811369,0.005090258726949711,0.1323079633829566,0.05054567239108926,nan,nan,nan,nan,nan,nan,15.144318861618776,
distributed,0,1,3,0.2306161953806583,0.8598,2.9847908745247147,0.296424852994897,0.01321431624983685,0.0034590328100393957,0.13061864378316382,0.04951126425641717,nan,nan,nan,nan,nan,nan,15.07786136607214,
distributed,0,1,5,0.22788050955413042,0.8657,4.979848866498741,0.6207311155543968,0.013226081598123718,0.00279281911311166,0.12289248061123516,0.053696345433922536,nan,nan,nan,nan,nan,nan,15.222855698032594,
distributed,0,1,7,0.22759748107511588,0.8631,6.97489539748954,0.9995917534020515,0.013158491394697746,0.0029397828532497818,0.1242090804079355,0.05253338619811174,nan,nan,nan,nan,nan,nan,14.968148579888073,
distributed,0,1,10,0.22840607111692843,0.8618,9.946236559139784,1.2388002416778758,0.013072677592823118,0.002008803495824685,0.1292591666182093,0.055924225489843875,nan,nan,nan,nan,nan,nan,14.712407976750457,
distributed,0,1,20,0.2302102212513936,0.8632,19.948787061994608,4.190876412148972,0.013061671653401271,0.0024646629600629383,0.13203785127377002,0.06297882539565079,nan,nan,nan,nan,nan,nan,14.873243831803645,
distributed,0,1,30,0.23172004676595948,0.8614,29.704463208685162,5.65391070870609,0.013220904550794147,0.0015417495546318255,0.1412267137245895,0.05477408417247592,nan,nan,nan,nan,nan,nan,14.897020823568763,
distributed,0,1,50,0.23518660661197352,0.8582,49.5031185031185,13.00775976327042,0.013170453698163567,0.0013288119335040963,0.1237616988568161,0.05034108766351769,nan,nan,nan,nan,nan,nan,15.066647745309332,
distributed,0,1,70,0.23727460198790323,0.8554,68.87836490528414,19.69999603426356,0.012568632847729416,0.001996046139932051,0.11148871826007023,0.03904019690514623,nan,nan,nan,nan,nan,nan,14.900277326945101,
